1 weevil detection(s) on | Sat Mar 20 18:31:01 2021 | confidence: 0.83 x= 639 y=1065 ImageNr: 2 
1 weevil detection(s) on | Sat Mar 20 18:31:01 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 3 
1 weevil detection(s) on | Sat Mar 20 18:31:02 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 4 
1 weevil detection(s) on | Sat Mar 20 18:31:02 2021 | confidence: 0.90 x=1462 y= 570 ImageNr: 5 
1 weevil detection(s) on | Sat Mar 20 18:31:03 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 6 
1 weevil detection(s) on | Sat Mar 20 18:31:04 2021 | confidence: 0.93 x=1031 y= 377 ImageNr: 7 
1 weevil detection(s) on | Sat Mar 20 18:31:05 2021 | confidence: 0.82 x= 639 y=1065 ImageNr: 8 
1 weevil detection(s) on | Sat Mar 20 18:31:05 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 9 
1 weevil detection(s) on | Sat Mar 20 18:31:06 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 10 
1 weevil detection(s) on | Sat Mar 20 18:31:07 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 11 
1 weevil detection(s) on | Sat Mar 20 18:31:08 2021 | confidence: 0.85 x= 639 y=1064 ImageNr: 12 
1 weevil detection(s) on | Sat Mar 20 18:31:08 2021 | confidence: 0.94 x=1033 y= 377 ImageNr: 13 
1 weevil detection(s) on | Sat Mar 20 18:31:09 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 14 
1 weevil detection(s) on | Sun Mar 21 18:52:01 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 2 
1 weevil detection(s) on | Sun Mar 21 18:52:02 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 3 
1 weevil detection(s) on | Sun Mar 21 18:52:03 2021 | confidence: 0.82 x= 639 y=1063 ImageNr: 4 
1 weevil detection(s) on | Sun Mar 21 18:52:04 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 5 
1 weevil detection(s) on | Sun Mar 21 18:52:05 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 6 
1 weevil detection(s) on | Sun Mar 21 18:52:06 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 7 
1 weevil detection(s) on | Sun Mar 21 18:52:07 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 8 
1 weevil detection(s) on | Sun Mar 21 18:52:08 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 9 
1 weevil detection(s) on | Sun Mar 21 18:52:09 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 10 
1 weevil detection(s) on | Sun Mar 21 18:52:10 2021 | confidence: 0.85 x= 639 y=1063 ImageNr: 11 
1 weevil detection(s) on | Sun Mar 21 18:52:10 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 12 
1 weevil detection(s) on | Sun Mar 21 18:52:11 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 13 
1 weevil detection(s) on | Sun Mar 21 18:52:12 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 14 
1 weevil detection(s) on | Sun Mar 21 18:52:13 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 15 
1 weevil detection(s) on | Sun Mar 21 18:52:14 2021 | confidence: 0.95 x=1032 y= 379 ImageNr: 16 
1 weevil detection(s) on | Sun Mar 21 18:52:15 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 17 
1 weevil detection(s) on | Sun Mar 21 18:52:16 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 18 
1 weevil detection(s) on | Sun Mar 21 18:52:17 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 19 
1 weevil detection(s) on | Sun Mar 21 18:52:18 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 20 
1 weevil detection(s) on | Sun Mar 21 18:52:19 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 21 
1 weevil detection(s) on | Sun Mar 21 18:52:20 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 22 
1 weevil detection(s) on | Sun Mar 21 18:52:21 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 23 
1 weevil detection(s) on | Sun Mar 21 18:52:22 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 24 
